Year,Population,Attacks
1946,2473000,0
1947,2539000,1
1948,2578000,0
1949,2668000,0
1950,2771305,1
1951,2980000,0
1952,3157000,3
1953,3310000,1
1954,3505000,0
1955,3747000,0
1956,4047000,1
1957,4372000,5
1958,4630000,2
1959,4808000,4
1960,4951560,2
1961,5243000,4
1962,5458000,2
1963,5628000,3
1964,5781000,7
1965,5954000,6
1966,6104000,4
1967,6242000,3
1968,6433000,10
1969,6641000,3
1970,6789443,3
1971,7163000,1
1972,7520000,1
1973,7927000,0
1974,8317000,3
1975,8542000,10
1976,8695000,5
1977,8889000,8
1978,9132000,5
1979,9471000,5
1980,9746959,1
1981,10192775,20
1982,10471405,7
1983,10749849,9
1984,11039925,9
1985,11351120,3
1986,11667503,4
1987,11997282,7
1988,12306400,15
1989,12637718,10
1990,13018365,10
1991,13289497,13
1992,13504775,12
1993,13713593,10
1994,13961798,24
1995,14185403,31
1996,14426911,13
1997,14683350,26
1998,14908230,22
1999,15111244,25
